idUser,nameUser,snameUser,age,totalSpent,emailUser,phoneNumb,gender,fk_user_to_role,History,registerDate
1,Sara,Stroynovskaya,55,3021,SaraStroynovskayagmail.com,3.80425E+11,0,2,The registered user made  0 sales for last 7 month. Total price: 3021 ? ,2000-04-13
2,Enriketta,Goronovich,16,6612,EnrikettaGoronovichgmail.com,3.80167E+11,1,3,The unregistered user made sales for price: 6612 ? ,2000-03-14
3,Kyara,Annenkova,35,2778,KyaraAnnenkovagmail.com,3.80912E+11,1,2,The registered user made  6 sales for last 12 month. Total price: 2778 ? ,2018-07-02
4,Valentina,Vishneveczkaya,24,5972,ValentinaVishneveczkayagmail.com,3.80944E+11,1,2,The registered user made  10 sales for last 12 month. Total price: 5972 ? ,2004-04-26
5,Dzheraldina,Bolkunova,86,978,DzheraldinaBolkunovagmail.com,3.80976E+11,1,3,The unregistered user made sales for price: 978 ? ,2012-01-28
6,Albina,Buturlina,57,6462,AlbinaButurlinagmail.com,3.80754E+11,0,2,The registered user made  1 sales for last 8 month. Total price: 6462 ? ,2001-10-24
7,Marianna,Paleczkaya,53,2735,MariannaPaleczkayagmail.com,3.80552E+11,0,3,The unregistered user made sales for price: 2735 ? ,2004-04-06
8,Leticziya,Steczkaya,65,2184,LeticziyaSteczkayagmail.com,3.80348E+11,0,3,The unregistered user made sales for price: 2184 ? ,2020-05-28
9,Veronika,Kuzmina,48,5363,VeronikaKuzminagmail.com,3.8089E+11,1,3,The unregistered user made sales for price: 5363 ? ,2003-08-10
10,Albina,Zubatova,76,4434,AlbinaZubatovagmail.com,3.80524E+11,1,3,The unregistered user made sales for price: 4434 ? ,2005-04-20
11,Alessiya,Mikulina,24,1623,AlessiyaMikulinagmail.com,3.8074E+11,0,3,The unregistered user made sales for price: 1623 ? ,2016-05-16
12,Virdzhiniya,Sibirskaya,44,4709,VirdzhiniyaSibirskayagmail.com,3.80182E+11,1,2,The registered user made  2 sales for last 3 month. Total price: 4709 ? ,2002-09-14
13,Rossana,Ostrozhskaya,23,375,RossanaOstrozhskayagmail.com,3.80676E+11,1,3,The unregistered user made sales for price: 375 ? ,2004-06-09
14,Gabriella,Afanasenko,92,866,GabriellaAfanasenkogmail.com,3.80485E+11,1,2,The registered user made  9 sales for last 12 month. Total price: 866 ? ,2008-08-25
15,Dzhovanna,Vasilchikova,87,3268,DzhovannaVasilchikovagmail.com,3.80728E+11,1,2,The registered user made  10 sales for last 1 month. Total price: 3268 ? ,2004-08-21
16,Mirella,Cherkasskaya,77,5251,MirellaCherkasskayagmail.com,3.80193E+11,0,2,The registered user made  6 sales for last 2 month. Total price: 5251 ? ,2016-06-27
17,Dzhovanna,Stoczkaya,48,2246,DzhovannaStoczkayagmail.com,3.80271E+11,1,3,The unregistered user made sales for price: 2246 ? ,2007-02-11
18,Patricziya,Vodynskaya,63,7211,PatricziyaVodynskayagmail.com,3.80648E+11,0,2,The registered user made  4 sales for last 8 month. Total price: 7211 ? ,2005-05-04
19,Gabriella,Chufarovskaya,34,6418,GabriellaChufarovskayagmail.com,3.80777E+11,1,3,The unregistered user made sales for price: 6418 ? ,2008-03-27
20,Alessiya,Czimmerman,36,8541,AlessiyaCzimmermangmail.com,3.80768E+11,1,3,The unregistered user made sales for price: 8541 ? ,2005-12-02
21,Annunchiata,Gorodchikova,48,5797,AnnunchiataGorodchikovagmail.com,3.80687E+11,0,3,The unregistered user made sales for price: 5797 ? ,2003-06-10
22,Paolina,Okulova,85,1242,PaolinaOkulovagmail.com,3.80924E+11,1,2,The registered user made  3 sales for last 11 month. Total price: 1242 ? ,2019-02-18
