id,name,sname,age,email,phone,gender,fk_user_to_role,History,registerDate
1,Sara,Stroynovskaya,55,SaraStroynovskayagmail.com,(+380)-66-689-3517,0,1,just administrator,4/8/2011
2,Enriketta,Goronovich,16,EnrikettaGoronovichgmail.com,(+380)-43-981-7661,1,2,The user made sales for price:340M\TGMNORC],2/23/2011
3,Kyara,Annenkova,35,KyaraAnnenkovagmail.com,(+380)-37-984-9845,1,2,The user made sales for price:1407H^RDFGXVIH,9/24/2005
4,Valentina,Vishneveczkaya,24,ValentinaVishneveczkayagmail.com,(+380)-68-856-3674,1,2,The user made sales for price:678UPNC_DWDNZ,4/9/2012
5,Dzheraldina,Bolkunova,86,DzheraldinaBolkunovagmail.com,(+380)-71-537-5156,1,2,The user made sales for price:176L^GTDYML]I,8/8/2000
6,Albina,Buturlina,57,AlbinaButurlinagmail.com,(+380)-16-474-6224,0,2,The user made sales for price:955YXEGEFVLSH,7/23/2013
7,Marianna,Paleczkaya,53,MariannaPaleczkayagmail.com,(+380)-88-265-5516,0,2,The user made sales for price:832XZ_ARROZPH,7/21/2019
8,Leticziya,Steczkaya,65,LeticziyaSteczkayagmail.com,(+380)-64-113-9233,0,2,The user made sales for price:406H_IVCAL[MO,6/12/2015
9,Veronika,Kuzmina,48,VeronikaKuzminagmail.com,(+380)-61-928-7576,1,2,The user made sales for price:572\LXFAOI\LC,4/22/2016
10,Albina,Zubatova,76,AlbinaZubatovagmail.com,(+380)-33-449-4635,1,2,The user made sales for price:933WL_DB^ZFA\,5/17/2019
11,Alessiya,Mikulina,24,AlessiyaMikulinagmail.com,(+380)-21-161-7431,0,2,The user made sales for price:977O[_MPLJDA_,4/25/2004
12,Virdzhiniya,Sibirskaya,44,VirdzhiniyaSibirskayagmail.com,(+380)-35-144-6976,1,2,The user made sales for price:522JQ^FBFTIYR,2/5/2015
13,Rossana,Ostrozhskaya,23,RossanaOstrozhskayagmail.com,(+380)-41-257-5513,1,2,The user made sales for price:1894VJWQIYMGFO,12/9/2019
14,Gabriella,Afanasenko,92,GabriellaAfanasenkogmail.com,(+380)-99-545-4677,1,2,The user made sales for price:1621CA]VUUM_EF,8/13/2020
15,Dzhovanna,Vasilchikova,87,DzhovannaVasilchikovagmail.com,(+380)-62-364-2279,1,2,The user made sales for price:375L]H]XOXEQT,6/22/2019
16,Mirella,Cherkasskaya,77,MirellaCherkasskayagmail.com,(+380)-97-114-6157,0,2,The user made sales for price:1851IEPZBYUWLV,6/12/2018
17,Dzhovanna,Stoczkaya,48,DzhovannaStoczkayagmail.com,(+380)-18-598-9891,1,2,The user made sales for price:1096ABLNJCSFCY,12/7/2013
18,Patricziya,Vodynskaya,63,PatricziyaVodynskayagmail.com,(+380)-63-797-5969,0,2,The user made sales for price:1407XYISRRQHIT,3/1/2011
19,Gabriella,Chufarovskaya,34,GabriellaChufarovskayagmail.com,(+380)-29-113-1456,1,2,The user made sales for price:1146UEEOQ_^KXH,4/8/2011
20,Alessiya,Czimmerman,36,AlessiyaCzimmermangmail.com,(+380)-63-391-9474,1,2,The user made sales for price:466K^YC]LZG\U,1/26/2008
21,Annunchiata,Gorodchikova,48,AnnunchiataGorodchikovagmail.com,(+380)-35-163-1235,0,2,The user made sales for price:1491YMRKVLGRSD,11/21/2018
22,Paolina,Okulova,85,PaolinaOkulovagmail.com,(+380)-53-483-1653,1,2,The user made sales for price:1659L[RDLJIVBE,8/10/2013
23,Aureliana,Davydova,52,AurelianaDavydovagmail.com,(+380)-76-243-5283,1,2,The user made sales for price:1982VSOM\U\NFX,1/4/2016
24,Margerita,Lermontova,44,MargeritaLermontovagmail.com,(+380)-86-892-2254,1,2,The user made sales for price:700B_N^QG^WMX,10/11/2010
25,Violetta,Eropkina,68,ViolettaEropkinagmail.com,(+380)-25-788-7159,1,2,The user made sales for price:1559OQEFECRWW\,3/7/2009
26,Barbara,Sukovkina,57,BarbaraSukovkinagmail.com,(+380)-25-152-4651,0,2,The user made sales for price:1943PTTMKYVNJS,9/20/2007
27,Lorencza,Shubina,86,LorenczaShubinagmail.com,(+380)-42-475-2316,1,2,The user made sales for price:1646OCH[FVU]RM,8/20/2000
28,Mikela,Kartashevskaya,18,MikelaKartashevskayagmail.com,(+380)-28-858-9777,0,2,The user made sales for price:110ZA]CVW^_\H,8/20/2005
29,Mariya,Loganova,30,MariyaLoganovagmail.com,(+380)-26-697-9269,1,2,The user made sales for price:1944M_WVIHQVKE,6/11/2008
30,Andzhela,Akulova,44,AndzhelaAkulovagmail.com,(+380)-75-432-7197,0,2,The user made sales for price:136JS]NCFKUHB,7/7/2018
31,Dzhuliana,Zvarykina,76,DzhulianaZvarykinagmail.com,(+380)-24-384-1519,1,2,The user made sales for price:985TOASAW_ZEE,8/22/2012
32,Anna,Troiczyn,70,AnnaTroiczyngmail.com,(+380)-88-577-9989,1,2,The user made sales for price:163YO[IWYFUL^,11/6/2017
33,Annaliza,Yakubovich,96,AnnalizaYakubovichgmail.com,(+380)-48-889-2875,0,2,The user made sales for price:366PYRG_AGVU],11/25/2014
34,Ottaviya,Venyukova,41,OttaviyaVenyukovagmail.com,(+380)-71-237-2389,0,2,The user made sales for price:925TXQEKIHLEA,11/7/2007
35,Nikolina,Pisareva,65,NikolinaPisarevagmail.com,(+380)-17-524-1446,0,2,The user made sales for price:1388WHHAWG]O^J,8/15/2005
36,Evelina,Golovnya,88,EvelinaGolovnyagmail.com,(+380)-32-969-3545,1,2,The user made sales for price:1581OTJSMIVNJT,11/17/2007
37,Karla,Arendt,94,KarlaArendtgmail.com,(+380)-98-839-4698,1,2,The user made sales for price:1061YSAO\QOTL^,3/28/2005
38,Assunta,Belyaeva,46,AssuntaBelyaevagmail.com,(+380)-89-891-7722,0,2,The user made sales for price:1708TNJOP[PNZV,2/4/2001
39,Daniela,Korolenko,60,DanielaKorolenkogmail.com,(+380)-37-586-8499,0,2,The user made sales for price:1148\ETK]RFOAK,6/11/2008
40,Korneliya,Kriger,22,KorneliyaKrigergmail.com,(+380)-64-945-8962,0,2,The user made sales for price:831LN[B_[BWOC,8/25/2008
41,Albana,Basargina,73,AlbanaBasarginagmail.com,(+380)-61-138-6762,1,2,The user made sales for price:1052_ZY\WCAYEN,12/18/2016
