idUser,nameUser,snameUser,age,totalSpent,emailUser,phoneNumb,gender,fk_user_to_role,History,registerDate
2632,Augustine,Armstrong,84,896.2,AugustineArmstrong7gmail.com,(+380)-57-829-2925,1,2,The registered user made  2 sales for last 10 month. Total price: 896.2 ? ,1/16/2004
2633,Mark,Little,68,2870.6,MarkLittle8gmail.com,(+380)-96-768-2386,1,2,The registered user made  1 sales for last 8 month. Total price: 2870.6 ? ,4/18/2009
2634,Gerald,Pearson,29,7373.8,GeraldPearson2gmail.com,(+380)-96-377-2755,0,2,The registered user made  3 sales for last 11 month. Total price: 7373.8 ? ,5/13/2019
2635,Joshua,Merritt,26,8307.3,JoshuaMerritt4gmail.com,(+380)-59-143-8973,0,3,The unregistered user made sales for price: 8307.3 ? ,12/27/2001
2636,Juniper,Quinn,34,4270.6,JuniperQuinn3gmail.com,(+380)-72-341-6731,1,3,The unregistered user made sales for price: 4270.6 ? ,7/14/2014
2637,Barrie,Blankenship,40,4171.6,BarrieBlankenship7gmail.com,(+380)-98-342-8466,0,3,The unregistered user made sales for price: 4171.6 ? ,10/14/2011
2638,Milton,Evans,55,7169.9,MiltonEvans2gmail.com,(+380)-72-522-7953,0,2,The registered user made  6 sales for last 11 month. Total price: 7169.9 ? ,1/26/2010
2639,Donald,Black,94,7592.8,DonaldBlack8gmail.com,(+380)-32-678-8738,0,2,The registered user made  4 sales for last 5 month. Total price: 7592.8 ? ,1/23/2015
2640,Kenneth,Parsons,62,9425.7,KennethParsons2gmail.com,(+380)-11-649-7346,0,2,The registered user made  1 sales for last 8 month. Total price: 9425.7 ? ,7/16/2000
2641,Brian,Lane,75,7437.8,BrianLane8gmail.com,(+380)-84-963-2158,0,2,The registered user made  10 sales for last 5 month. Total price: 7437.8 ? ,10/24/2003
2642,Simon,Ferguson,55,7043.7,SimonFerguson6gmail.com,(+380)-28-828-3464,1,2,The registered user made  5 sales for last 11 month. Total price: 7043.7 ? ,7/14/2001
2643,Christopher,Payne,76,1228.2,ChristopherPayne3gmail.com,(+380)-21-723-8482,0,3,The unregistered user made sales for price: 1228.2 ? ,11/8/2011
2644,Oliver,Wilcox,60,3286.4,OliverWilcox3gmail.com,(+380)-61-638-1629,1,3,The unregistered user made sales for price: 3286.4 ? ,9/15/2008
2645,Thomas,Page,18,5674.2,ThomasPage1gmail.com,(+380)-28-243-6897,0,2,The registered user made  10 sales for last 7 month. Total price: 5674.2 ? ,12/1/2017
2646,Frank,Hopkins,78,5824.2,FrankHopkins2gmail.com,(+380)-97-293-6291,0,3,The unregistered user made sales for price: 5824.2 ? ,4/14/2005
2647,Steven,Willis,31,7229.1,StevenWillis8gmail.com,(+380)-81-373-9216,0,3,The unregistered user made sales for price: 7229.1 ? ,5/27/2013
2648,Marcus,Randall,79,8249.1,MarcusRandall9gmail.com,(+380)-46-853-3928,1,3,The unregistered user made sales for price: 8249.1 ? ,1/14/2009
2649,Godwin,Henry,72,6751.8,GodwinHenry5gmail.com,(+380)-39-727-2339,1,2,The registered user made  3 sales for last 12 month. Total price: 6751.8 ? ,8/11/2010
2650,Mark,Russell,29,2586.7,MarkRussell5gmail.com,(+380)-31-768-4555,0,2,The registered user made  8 sales for last 4 month. Total price: 2586.7 ? ,9/6/2011
2651,Derrick,Malone,26,5077.9,DerrickMalone8gmail.com,(+380)-33-619-8168,1,3,The unregistered user made sales for price: 5077.9 ? ,6/24/2006
2652,Mark,Wilkinson,20,3313.3,MarkWilkinson5gmail.com,(+380)-59-999-2995,0,2,The registered user made  9 sales for last 7 month. Total price: 3313.3 ? ,3/23/2007
2653,Albert,Small,34,2878.8,AlbertSmall1gmail.com,(+380)-22-224-7887,1,3,The unregistered user made sales for price: 2878.8 ? ,2/22/2007
2654,Scot,Harrison,38,3407.4,ScotHarrison3gmail.com,(+380)-12-788-8327,0,3,The unregistered user made sales for price: 3407.4 ? ,7/13/2005
2655,Matthew,Stanley,63,8207.9,MatthewStanley3gmail.com,(+380)-34-484-9344,0,2,The registered user made  4 sales for last 12 month. Total price: 8207.9 ? ,11/10/2020
2656,Brandon,Robertson,29,863.3,BrandonRobertson4gmail.com,(+380)-48-927-4493,0,3,The unregistered user made sales for price: 863.3 ? ,4/4/2012
2657,Jack,McDaniel,93,4544.9,JackMcDaniel2gmail.com,(+380)-96-826-4333,1,2,The registered user made  10 sales for last 7 month. Total price: 4544.9 ? ,3/11/2018
2658,Garey,Fisher,47,5885.7,GareyFisher5gmail.com,(+380)-45-461-4365,1,2,The registered user made  6 sales for last 9 month. Total price: 5885.7 ? ,1/5/2014
2659,Joseph,Brien,92,8333.8,JosephBrien5gmail.com,(+380)-58-787-8169,1,3,The unregistered user made sales for price: 8333.8 ? ,1/12/2004
2660,Edward,Blair,65,3642.9,EdwardBlair4gmail.com,(+380)-86-492-7348,0,3,The unregistered user made sales for price: 3642.9 ? ,12/10/2006
2661,Paul,Melton,76,4476.2,PaulMelton1gmail.com,(+380)-59-436-5614,0,3,The unregistered user made sales for price: 4476.2 ? ,12/14/2005
2662,Donald,Warner,25,7691.5,DonaldWarner5gmail.com,(+380)-64-963-2936,1,2,The registered user made  1 sales for last 8 month. Total price: 7691.5 ? ,12/13/2005
2663,Mark,Atkins,20,4869.5,MarkAtkins1gmail.com,(+380)-71-828-3499,1,3,The unregistered user made sales for price: 4869.5 ? ,7/12/2017
2664,Horace,Copeland,52,8898.9,HoraceCopeland8gmail.com,(+380)-91-661-2798,0,2,The registered user made  6 sales for last 5 month. Total price: 8898.9 ? ,11/25/2015
2665,Jason,O?Neal?,91,9244.2,JasonO?Neal?2gmail.com,(+380)-17-554-3696,1,2,The registered user made  8 sales for last 2 month. Total price: 9244.2 ? ,3/14/2019
2666,Thomas,Singleton,38,8062.2,ThomasSingleton1gmail.com,(+380)-84-787-4183,1,2,The registered user made  2 sales for last 2 month. Total price: 8062.2 ? ,1/25/2007
2667,Joshua,Matthews,55,4200.3,JoshuaMatthews5gmail.com,(+380)-58-136-7181,1,2,The registered user made  3 sales for last 12 month. Total price: 4200.3 ? ,2/13/2017
2668,Clinton,Greer,57,8868.9,ClintonGreer8gmail.com,(+380)-18-871-8369,1,2,The registered user made  4 sales for last 2 month. Total price: 8868.9 ? ,3/26/2009
2669,Derick,Norris,22,844.1,DerickNorris4gmail.com,(+380)-94-986-5471,1,2,The registered user made  4 sales for last 1 month. Total price: 844.1 ? ,10/25/2006
2670,Lester,Anthony,26,7098.7,LesterAnthony6gmail.com,(+380)-44-685-2976,0,3,The unregistered user made sales for price: 7098.7 ? ,5/22/2019
2671,Anthony,Reynolds,47,5082.6,AnthonyReynolds7gmail.com,(+380)-54-426-4525,1,3,The unregistered user made sales for price: 5082.6 ? ,8/20/2020
2672,Robert,Bridges,44,4026.8,RobertBridges9gmail.com,(+380)-42-914-7112,0,3,The unregistered user made sales for price: 4026.8 ? ,8/21/2017
2673,Mark,McKenzie,74,4120.1,MarkMcKenzie1gmail.com,(+380)-36-156-2975,1,3,The unregistered user made sales for price: 4120.1 ? ,5/13/2000
2674,Jeremy,Reeves,90,7877.6,JeremyReeves2gmail.com,(+380)-66-257-2111,0,2,The registered user made  8 sales for last 12 month. Total price: 7877.6 ? ,8/1/2014
2675,Leslie,Jacobs,20,8979.1,LeslieJacobs4gmail.com,(+380)-11-677-6231,0,2,The registered user made  2 sales for last 10 month. Total price: 8979.1 ? ,1/25/2010
2676,Robert,Garrett,21,8861.6,RobertGarrett8gmail.com,(+380)-43-631-6846,0,3,The unregistered user made sales for price: 8861.6 ? ,4/3/2010
2677,Arthur,Gardner,46,4561.8,ArthurGardner4gmail.com,(+380)-64-976-4229,1,3,The unregistered user made sales for price: 4561.8 ? ,6/7/2000
2678,Ronald,Cannon,48,6882.8,RonaldCannon2gmail.com,(+380)-96-953-4921,0,2,The registered user made  1 sales for last 4 month. Total price: 6882.8 ? ,1/18/2007
2679,William,Rogers,16,2478.6,WilliamRogers4gmail.com,(+380)-57-489-8712,0,3,The unregistered user made sales for price: 2478.6 ? ,12/5/2007
2680,Gregory,Higgins,37,4244.6,GregoryHiggins2gmail.com,(+380)-72-384-2273,1,3,The unregistered user made sales for price: 4244.6 ? ,11/1/2011
2681,Anthony,Nichols,33,6557.6,AnthonyNichols8gmail.com,(+380)-25-717-4493,1,3,The unregistered user made sales for price: 6557.6 ? ,12/26/2004
2682,Alfred,Curtis,76,4063.5,AlfredCurtis2gmail.com,(+380)-18-322-8282,1,2,The registered user made  6 sales for last 12 month. Total price: 4063.5 ? ,11/3/2003
2683,Gordon,Hudson,49,2859.8,GordonHudson1gmail.com,(+380)-65-617-4477,1,3,The unregistered user made sales for price: 2859.8 ? ,2/15/2007
2684,Gavin,Cain,61,1800.9,GavinCain5gmail.com,(+380)-84-193-9374,0,2,The registered user made  4 sales for last 3 month. Total price: 1800.9 ? ,10/9/2005
